이미지ID,페이지,섹션,종류,촬영·제작 지시,크기·비율,alt text,보유 여부,매칭·대안
IMG-001,메인,히어로,사진,간판과 정비 베이 3칸이 보이는 사업장 정면·밝은 낮·하단 40% 스크림 얹을 것을 감안해 하단 여백 있는 컷,풀 와이드,동탄 수입차 정비소 모터리페어 외관,보유,외관-정면(간판)
IMG-002,메인,진단 장비 티저,사진,브랜드별 진단 노트북 세트 전체가 보이는 컷·다크 타일 위 배치이므로 어둡지 않은 피사체,가로형,수입차 브랜드 전용 진단기 ISTA Xentry ODIS PIWIS,보유,진단 노트북 세트 ① (IMG-008과 동일 원본)
IMG-003,메인,후기,캡처,구글 리뷰 선명 캡처 — 화면 게시용 아님·인용문 원문 대조 근거용,—,—(화면 미게시),보유,구글 리뷰 캡처 선명분
IMG-004,서비스,진단 #diagnosis,사진,PIWIS 진단 화면이 뜬 모니터·화면 내용 식별 가능하게,가로형,포르쉐 PIWIS 전용 진단 화면,보유,PIWIS 화면 (IMG-009와 동일 원본)
IMG-005,서비스,엔진·미션 #powertrain,사진,리프트 위 차량과 보닛 열린 엔진룸이 보이는 작업 베이 내부·다크 타일과 어울리는 컷,가로형,동탄 수입차 정비소 엔진 정비 작업,보유,작업 베이 내부
IMG-006,정비 사례,목록 헤드 배경(선택),사진,대형 모니터에 차량 하부 사진을 띄우고 설명하는 장면·초기 빈 상태 기간 대표 이미지 후보,풀 와이드,동탄 수입차 정비소 차량 상태 사진 설명,보유,모니터 설명 컷 (IMG-011과 동일 원본·선택 사항)
IMG-007,진단 장비,페이지 헤드 배경,사진,진단 노트북 세트 다른 각도·상단 스크림 얹는 배경용,풀 와이드,,보유,진단 노트북 세트 ② (배경 장식용 alt 비움)
IMG-008,진단 장비,브랜드별 진단기 카드,사진,진단 노트북 세트 전체 컷·장비 실물이 또렷하게,가로형,수입차 브랜드별 전용 진단기 노트북 세트,보유,진단 노트북 세트 ①
IMG-009,진단 장비,포르쉐 카드,사진,PIWIS 화면 클로즈업·정방형 크롭 가능한 컷,정방형,포르쉐 PIWIS 전용 진단 화면,보유,PIWIS 화면
IMG-010,진단 장비,Picoscope,사진,Picoscope 본체와 컬러 프로브가 엔진룸에 연결된 장면·계측 중임이 보이게,가로형,Picoscope 정밀 진단 장비 엔진룸 계측,보유,Picoscope 컷
IMG-011,진단 장비,장비를 다루는 사람,사진,모니터의 차량 하부 사진을 손으로 가리키며 설명하는 장면·사람(손)이 보이는 컷,가로형,동탄 수입차 정비소 차량 상태 사진 설명,보유,모니터 설명 컷
IMG-012,진단 장비,ISO 인증,사진,ISO 9001·14001·45001 인증서 3장 촬영 또는 스캔·정면·반사 없이,정방형 또는 가로형,모터리페어 ISO 9001 14001 45001 인증서,미보유—재확보 권장,촬영/스캔 확보 필요 — 확보 전 텍스트 배지로 대체 (우선순위 2)
IMG-013,오시는 길,외관,사진,간판과 전화번호가 보이는 사업장 정면·건물 식별 목적("이 건물을 찾으세요"),풀 와이드,동탄 수입차 정비소 모터리페어 외관 간판,보유,외관-정면(전화번호)
IMG-014,오시는 길,지도,이미지 제작,사업장 위치 정적 지도 이미지·핀 표시·주변 주요 도로 보이게,가로형,모터리페어 위치 지도 경기 화성 효행로,제작 필요,네이버/카카오 지도 캡처 또는 정적 지도 생성
IMG-015,서비스,오일류 #oil 또는 브레이크 #brake-suspension,사진,대표/직원이 실제 정비하는 장면·얼굴 또는 손이 보이게·자연광,가로형,동탄 수입차 정비소 정비 작업 모습,미보유—확보 최우선,"사람이 나오는 작업 컷" — 확보 시 즉시 배치 (우선순위 1)
IMG-016,진단 장비,장비를 다루는 사람(추가),사진,대표 프로필·작업복 차림·정비 베이 배경·담담한 표정,정방형,모터리페어 대표 장용석,미보유—확보 권장,대표 프로필 (우선순위 3)
IMG-017,진단 장비,브랜드별 진단기 카드(보강),캡처,BMW ISTA+ · 벤츠 Xentry · 아우디 ODIS 진단 화면 각 1장·차량 연결 상태 화면,가로형,BMW ISTA 진단 화면 외 2종,미보유—확보 권장,현재 포르쉐만 보유 — 카드 사실 근거 보강 (우선순위 4)
IMG-018,메인,후기(보강),캡처,네이버 개별 후기 선명 캡처·후기 하나씩·본문 식별 가능하게,—,—(인용 근거용),재확보 권장,현 대시보드 전체 캡처는 흐림 — 개별 재캡처 (우선순위 5)
IMG-019,공통,헤더 로고,로고,MOTOR REPAIR 가로형 로고·SVG 또는 고해상 PNG·투명 배경,가로형,모터리페어 로고,보유,가로형 로고
IMG-020,공통,파비콘·푸터 엠블럼,로고,NOW MOTOR REPAIR 원형 엠블럼·파비콘용 정방형·투명 배경,정방형,,보유,원형 엠블럼 (파비콘 alt 불필요)
IMG-021,예비,계절 콘텐츠용,사진,벚꽃과 함께 찍힌 건물 외관·봄 시즌 히어로 교체용 예비,풀 와이드,동탄 수입차 정비소 봄 외관,보유,외관-벚꽃 (즉시 사용처 없음—예비 등재)
